rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
1,Wacht am Rhein,51371,,4,2695,über 250,250,,300,10.02,3.699,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Wacht+am+Rhein/data=!4m7!3m6!1s0x47bf2ef5a1ad4c4f:0xfb2fe288cc9425cf!8m2!3d51.031939!4d6.968984!16s%2Fg%2F1tmpjnh5!19sChIJT0ytofUuv0cRzyWUzIjiL_s?authuser=0&hl=de&rclk=1
2,Classic Hotel Harmonie,51375,,4.5,944,über 250,250,,300,24.12,3.656,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Classic+Hotel+Harmonie/data=!4m10!3m9!1s0x47bf25a46107e7bd:0x1ca9e94880b1fc3d!5m2!4m1!1i2!8m2!3d50.9452736!4d6.9544187!16s%2Fg%2F1tfpnv7p!19sChIJvecHYaQlv0cRPfyxgEjpqRw?authuser=0&hl=de&rclk=1
3,Leoso Hotel Leverkusen,51371,,4,899,über 250,250,,300,25.02,3.249,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Leoso+Hotel+Leverkusen/data=!4m10!3m9!1s0x47bf2e9483eef2ef:0x8105706f9008d05f!5m2!4m1!1i2!8m2!3d51.0357255!4d6.9884376!16s%2Fg%2F11fxfw4zn8!19sChIJ7_Lug5Quv0cRX9AIkG9wBYE?authuser=0&hl=de&rclk=1
4,Restaurant Hoettche,51371,,4.6,807,201–250,201,250,225.5,21.84,3.814,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Hoettche/data=!4m10!3m9!1s0x47bf339acfabefb5:0x21477d839266ef21!5m2!4m1!1i2!8m2!3d51.0965347!4d6.8384146!16s%2Fg%2F1tfp1lkk!19sChIJte-rz5ozv0cRIe9mkoN9RyE?authuser=0&hl=de&rclk=1
5,Steakhouse La Plaza,51379,,4.8,2367,151–200,151,200,175.5,6.9,4.538,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Steakhouse+La+Plaza/data=!4m7!3m6!1s0x47bf2c17fdf888f5:0xb41fe70bbc1b236e!8m2!3d51.0640424!4d7.0017323!16s%2Fg%2F11b5yzw0b8!19sChIJ9Yj4_Rcsv0cRbiMbvAvnH7Q?authuser=0&hl=de&rclk=1
6,Brauhaus Janes,51371,,4.6,973,151–200,151,200,175.5,15.28,4.05,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Brauhaus+Janes/data=!4m7!3m6!1s0x47bf2ea326fae9d7:0x7bb91790a983d15f!8m2!3d51.0441484!4d7.0005028!16s%2Fg%2F1tlbhpxn!19sChIJ1-n6JqMuv0cRX9GDqZAXuXs?authuser=0&hl=de&rclk=1
7,Hepsi - Markt Leverkusen,51371,,4.6,964,101–150,101,150,125.5,11.52,4.185,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hepsi+-+Markt+Leverkusen/data=!4m7!3m6!1s0x47bf2f6c20c0c319:0xcb72931b5c817773!8m2!3d51.0461225!4d6.9936453!16s%2Fg%2F11g0v_s_4g!19sChIJGcPAIGwvv0cRc3eBXBuTcss?authuser=0&hl=de&rclk=1
8,Wiesdorfer Grill Inh. Nikolaos Papageorgiou,51371,,4.6,332,101–150,101,150,125.5,27.43,3.612,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Wiesdorfer+Grill+Inh.+Nikolaos+Papageorgiou/data=!4m7!3m6!1s0x47bf2eed0b4b7253:0x73f6b0084064a345!8m2!3d51.0315074!4d6.981948!16s%2Fg%2F1tf_06lv!19sChIJU3JLC-0uv0cRRaNkQAiw9nM?authuser=0&hl=de&rclk=1
9,Pagode Wang,51371,,4.3,1377,51–100,51,100,75.5,5.2,4.128,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pagode+Wang/data=!4m7!3m6!1s0x47bf2c043acb9035:0xafdf30fa605a3b6d!8m2!3d51.059707!4d7.0196924!16s%2Fg%2F1td2t0ld!19sChIJNZDLOgQsv0cRbTtaYPow368?authuser=0&hl=de&rclk=1
10,Klinikum Leverkusen,51375,,3.4,913,51–100,51,100,75.5,7.64,3.217,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Klinikum+Leverkusen/data=!4m7!3m6!1s0x47bf2948128a4c9d:0xa30618dd34d17da8!8m2!3d51.0324496!4d7.0331031!16s%2Fg%2F120x5drc!19sChIJnUyKEkgpv0cRqH3RNN0YBqM?authuser=0&hl=de&rclk=1
11,ATU Leverkusen - Manfort,51377,,3.9,806,51–100,51,100,75.5,8.56,3.652,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/ATU+Leverkusen+-+Manfort/data=!4m7!3m6!1s0x47bf2ecce55ca62d:0xc0dbc28b1890101e!8m2!3d51.0246!4d7.01591!16s%2Fg%2F1tjcnl7w!19sChIJLaZc5cwuv0cRHhCQGIvC28A?authuser=0&hl=de&rclk=1
12,Gallodini Leverkusen,51371,,4.6,681,51–100,51,100,75.5,9.98,4.241,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gallodini+Leverkusen/data=!4m7!3m6!1s0x47bf2d34a1c14557:0xd91ba6b44655915b!8m2!3d51.0642282!4d7.0112994!16s%2Fg%2F11nn092s4j!19sChIJV0XBoTQtv0cRW5FVRrSmG9k?authuser=0&hl=de&rclk=1
13,Malteser Komturei / Hotel / Restaurant / Café,51375,,4.6,595,51–100,51,100,75.5,11.26,4.195,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Malteser+Komturei+%2F+Hotel+%2F+Restaurant+%2F+Caf%C3%A9/data=!4m10!3m9!1s0x47bed6fbeae6675b:0x275197fa2fe13cb2!5m2!4m1!1i2!8m2!3d51.0070479!4d7.1806175!16s%2Fg%2F120p4hj2!19sChIJW2fm6vvWvkcRsjzhL_qXUSc?authuser=0&hl=de&rclk=1
